Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-03-06 14:31:08.00,2025-03-06 14:31:08.00,981.5319360494614,53.369821,-1.501136,2.592617591408631,118.2809677738696,3,3288.72723516821,2.377291762076335,0.6837071179996328,200.3571014404297,238.0824279785156,237.6681213378906,10,-12.35681840857238,0
2025-03-06 14:31:11.99,2025-03-06 14:31:11.99,985.5353960990906,53.369717,-1.501195,2.681868141814634,117.3857081551105,3,3300.932341226229,2.96537713938211,2.511001869956921,198.3018188476562,238.0824279785156,237.6681213378906,10,-14.02614236662754,0
2025-03-06 14:31:15.99,2025-03-06 14:31:15.99,989.5315090417862,53.369631,-1.501246,2.749220502581786,116.2669572848827,3,3311.04378606275,1.906798265767888,2.9192774266067,196.0405426025391,238.0824279785156,237.6681213378906,10,-17.82461105703548,0
2025-03-06 14:31:28.00,2025-03-06 14:31:28.00,1001.534910082817,53.369532,-1.501270,3.600846496813443,114.7676948569715,3,3322.189052981308,2.117492448590651,0.3400725650260045,196.0405426025391,238.0824279785156,237.6681213378906,10,-9.791126290115285,0
2025-03-06 14:31:31.00,2025-03-06 14:31:31.00,1004.535364985466,53.369439,-1.501312,4.231199228949599,113.7591571761295,3,3332.874072036837,3.486724788086379,2.373239202601482,195.2229919433594,238.0824279785156,237.6681213378906,10,-11.23765125484898,0
2025-03-06 14:31:34.00,2025-03-06 14:31:34.00,1007.535704016685,53.369328,-1.501352,5.133394694946357,112.8766462514177,3,3345.524017145015,4.025471551686724,2.373239202601482,195.2229919433594,238.0824279785156,237.6681213378906,10,-13.28619337815548,0
2025-03-06 14:31:39.00,2025-03-06 14:31:39.00,1012.536241054535,53.369224,-1.501406,5.180491451098863,111.8119022054598,3,3357.738790588974,2.261079438960462,4.104574656312566,195.2229919433594,238.0824279785156,237.6681213378906,10,-12.00897569815591,0
2025-03-06 14:31:41.00,2025-03-06 14:31:41.00,1014.536542057991,53.369130,-1.501468,4.238173099106622,111.5725532993674,3,3368.962644974889,2.792820685896738,2.300224673748213,195.2247619628906,238.0824279785156,237.6681213378906,10,-13.71511910933338,0
2025-03-06 14:31:44.00,2025-03-06 14:31:44.00,1017.535001993179,53.369024,-1.501516,4.383465866878479,111.2248682836071,3,3381.124133669122,3.124967991908011,2.300224673748213,195.2247619628906,238.0824279785156,237.6681213378906,10,-16.20421791275767,0
2025-03-06 14:31:48.00,2025-03-06 14:31:48.00,1021.536612033844,53.368923,-1.501559,4.689905163498399,110.871522737667,3,3392.787377353793,3.505816836478616,3.676231818026297,194.8501434326172,238.0824279785156,237.6681213378906,10,-19.14878994128295,0
2025-03-06 14:31:52.00,2025-03-06 14:31:52.00,1025.536269068718,53.368819,-1.501632,6.33742600086852,110.1144228326157,3,3405.327212345414,2.528882919475223,3.371015091931417,195.2356109619141,238.0824279785156,237.6681213378906,10,-27.61968041731614,0
2025-03-06 14:31:56.00,2025-03-06 14:31:56.00,1029.535932064056,53.368707,-1.501657,5.022630400817577,109.5431658262387,3,3417.865189167062,2.38306928031809,2.802062949195798,195.2356109619141,238.0824279785156,237.6681213378906,10,-23.15218769706637,0
2025-03-06 14:32:08.00,2025-03-06 14:32:08.00,1041.537790060043,53.368606,-1.501703,3.508438152483478,110.6374126365408,3,3429.547268806348,3.452425588815619,0.2964668159385608,194.0641021728516,238.0824279785156,237.6681213378906,10,-1896.187894828485,0
2025-03-06 14:32:11.00,2025-03-06 14:32:11.00,1044.536493062973,53.368512,-1.501742,3.242247886435971,110.6636333027855,3,3440.360846825989,3.783672657042281,3.480654413534046,194.0641021728516,238.0824279785156,237.6681213378906,10,30.49654561985968,0
2025-03-06 14:32:14.00,2025-03-06 14:32:14.00,1047.536733031273,53.368419,-1.501783,3.156978291095331,110.5591357275844,3,3451.048363125051,2.804108957579127,3.480654413534046,194.8165588378906,238.0824279785156,237.6681213378906,10,34.98583361879646,0
2025-03-06 14:32:36.00,2025-03-06 14:32:36.00,1069.53790307045,53.368321,-1.501826,6.321915277204459,110.2143517974764,3,3462.274595750776,3.233655672665895,1.412996493114623,194.8182678222656,238.0824279785156,237.6681213378906,10,131.7853518880601,0
2025-03-06 14:32:39.00,2025-03-06 14:32:39.00,1072.533372998238,53.368205,-1.501906,5.385385107159601,109.8563002701849,3,3476.285030483418,4.632403340920777,1.412996493114623,194.8182678222656,238.0824279785156,237.6681213378906,10,-190.5213064452593,0
2025-03-06 14:32:43.00,2025-03-06 14:32:43.00,1076.537649989128,53.368061,-1.501924,6.748811287280868,108.5863970071077,3,3492.26974700217,4.57326683762142,4.408006150429105,198.0961303710938,238.0824279785156,237.6681213378906,10,-40.29840351565058,0
2025-03-06 14:32:46.00,2025-03-06 14:32:46.00,1079.537726044655,53.367956,-1.502025,6.868363486046479,108.0712683387101,3,3505.78924621752,4.104052771186813,4.669042717871495,166.815673828125,238.0824279785156,237.6681213378906,10,-28.8217093131706,0
2025-03-06 14:32:54.00,2025-03-06 14:32:54.00,1087.53442299366,53.367853,-1.502065,3.409057829927947,106.3922424335033,3,3517.548655433216,2.603969858695165,3.75145596672381,186.9236450195312,238.0824279785156,237.6681213378906,10,-16.86513554995967,0
2025-03-06 14:32:56.00,2025-03-06 14:32:56.00,1089.534080028534,53.367740,-1.502068,3.364874855744915,106.3728551613167,3,3530.175018166298,6.031876943326971,1.822420185427413,195.6247711181641,238.0824279785156,237.6681213378906,10,-18.03576636553404,0
